trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
219,False,"{'a': 0.5, 'e': 0.26607530423862097}",25,12,17.565096161299998,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.26447885241318925}",20,0,25.578816318972297,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
221,False,"{'a': 0.5, 'e': 0.2628919792987101}",25,11,24.495474492918163,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.26131462742291783}",25,3,38.12747780459831,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.25974673965838035}",20,0,33.45720913373137,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
224,False,"{'a': 0.5, 'e': 0.25818825922043004}",25,10,28.48395247450314,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.2566391296651075}",30,20,17.703376603203115,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.25509929488711686}",20,0,18.686873182936996,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
227,False,"{'a': 0.5, 'e': 0.2535686991177941}",20,6,20.25534815016335,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.25204728692308737}",30,1,44.11240546660225,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.25053500320154887}",20,0,28.957229516981407,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
230,False,"{'a': 0.5, 'e': 0.24903179318233953}",20,14,8.037121537302255,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.24753760242324552}",30,5,41.27904595851165,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.24605237680870604}",20,10,18.807596859277307,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.2445760625478538}",25,0,39.37055250248371,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.24310860617256666}",25,0,39.948494862795094,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
235,False,"{'a': 0.5, 'e': 0.24164995453553126}",25,0,37.49956644382892,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
236,False,"{'a': 0.5, 'e': 0.24020005480831808}",25,1,40.369062159704534,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.23875885447946818}",25,8,25.068279754438052,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.23732630135259136}",20,1,31.880946003369633,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.2359023435444758}",20,12,14.401351141666131,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
