trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
125,False,"{'a': 0.5, 'e': 0.4684728579027101}",20,12,14.486774916418522,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.46566202075529384}",20,0,29.106348892202938,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.4628680486307621}",20,0,22.8463964336162,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.4600908403389775}",20,0,22.799370618804463,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.45733029529694363}",25,0,34.22311778519378,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.45458631352516193}",25,0,29.424363291484426,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.451858795644011}",25,0,34.35072376839082,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.4491476428701469}",25,0,28.893299375303133,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.446452757012926}",20,0,25.38129872440935,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.44377404047084845}",20,12,10.391508308893968,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.44111139622802337}",20,5,17.124441415151612,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.4384647278506552}",20,10,14.919635006609475,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.4358339394835513}",25,0,22.975073089342917,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.43321893584665}",20,0,27.08031610109937,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.4306196222315701}",25,0,26.56185138787699,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.4280359044981807}",20,0,28.712037106663058,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.4254676890711916}",20,0,25.289949257735106,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.42291488293676444}",30,0,43.39267294106286,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.42037739363914384}",35,9,36.20699991482962,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.417855129277309}",20,0,28.427320249645366,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.4153479985016451}",25,0,10.53926760442533,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.41285591051063525}",30,0,40.96612423422253,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.4103787750475714}",25,0,29.842475538999604,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.407916502397286}",35,0,41.51629025568592,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.40546900338290226}",20,16,9.049057136275326,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.4030361893626049}",30,0,40.59048889795331,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.40061797222642925}",20,7,23.60513189740875,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.39821426439307067}",20,0,24.068454431613496,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.39582497880671225}",20,0,24.198001442219155,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.393450028933872}",30,0,38.1525420858717,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.39108932876026875}",20,0,30.713267524197988,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.3887427927877071}",30,0,44.926657248451704,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.38641033603098085}",20,9,11.478616601316846,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.384091874014795}",20,9,17.405770397180767,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.3817873227707062}",20,0,28.342299890538804,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.379496598834082}",20,0,27.27043889213633,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.3772196192410775}",30,0,36.69973429901258,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.37495630152563103}",20,0,28.809186781403085,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.3727065637164772}",25,4,30.167581858128997,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.37047032433417837}",20,9,22.220104029139886,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.3682475023881733}",20,0,24.52248110635425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.3660380173738442}",20,0,32.55438247454329,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.36384178926960115}",25,3,34.50034826524289,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.36165873853398356}",30,11,19.876774639676604,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.3594887861027797}",20,0,26.503097545029455,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.35733185338616297}",20,0,31.2824271569407,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.355187862265846}",20,0,24.872889037115907,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.35305673509225094}",25,0,35.498241404146434,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.3509383946816974}",20,0,24.669277005250006,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
